redirects,not_indexed_by_google,certificate_age,email_submission,request_url_percentage,url_anchor_percentage,meta_percentage,script_percentage,link_percentage,mouseover_changes,right_click_disabled,popup_window_has_text_field,use_iframe,has_suspicious_port,external_favicons,TTL,ip_address_count,TXT_record,check_sfh,count_domain_occurrences,domain_registration_length,abnormal_url,age_of_domain,is_malicious,page_rank_decimal
0,0,-32,0,0,0.9767441860465116,0,0.3611111111111111,0.6388888888888888,0,0,0,0,1,0,30,2,0,0,127,0,0,-1,0,4.91
0,0,0,0,0,0,0,0.689922481,0.3100775193798449,0,0,0,1,1,0,30,1,0,0,390,0,0,-1,0,5.1
1,0,0,0,0,0,0,0.6818181818181818,0.3181818181818182,0,0,0,1,1,1,30,2,0,0,0,0,0,-1,0,3.4
0,0,0,0,0,0.068181818,0,0.3076923076923077,0.6923076923076923,0,0,0,0,0,0,30,1,0,0,134,0,0,-1,0,2.89
1,0,-83,1,0,0,0,0.8,0.2,0,0,0,0,1,0,30,1,0,0.5,155,0,0,-1,0,4.78
0,0,-390,0,0,0,0,0.4347826086956521,0.5652173913043478,0,0,0,1,1,1,30,1,0,0,138,0,0,-1,0,5.23
1,0,-60,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,1,1,0,30,2,0,1,224,0,0,-1,0,4.3
0,0,-163,0,0,0.066666667,0,0.6666666666666666,0.3333333333333333,0,0,0,0,1,0,29,3,0,0,29,0,0,-1,0,3.99
3,0,0,0,0,0,0,0.4722222222222222,0.5277777777777778,0,0,0,0,1,5,30,2,0,0,7,0,0,-1,1,3.21
1,0,-47,0,0,0,0,0.625,0.375,0,0,0,0,1,0,30,1,0,0.5,339,0,0,-1,0,4.5
0,0,-343,0,0,0,0,0.5,0.5,0,0,0,0,0,1,30,1,0,0,1,0,0,-1,0,5.05
0,0,-66,0,0,0,0,0.4117647058823529,0.5882352941176471,0,0,0,0,1,0,30,1,0,0,13,0,0,-1,0,3.63
0,0,-85,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,0,1,1,30,1,0,0.5,77,0,0,-1,0,5.28
0,0,-176,0,0,0.16091954,0,0.4285714285714285,0.5714285714285714,0,0,0,1,0,1,30,1,0,0,10,0,0,-1,0,5.33
2,0,0,0,0,0.2321428571428571,0,0.6,0.4,0,0,0,1,0,0,29,1,0,0.5,10,0,0,-1,0,4.61
0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,1,0,29,1,0,0,36,0,0,-1,0,5.07
0,0,0,0,0,0.058823529,0,0.5,0.5,0,0,0,0,0,0,30,1,0,0,6,0,0,-1,0,5.04
0,0,0,0,0,0.9166666666666666,0,0.75,0.25,0,0,0,0,1,1,30,1,0,0,12,0,0,-1,1,
3,0,-294,0,0,0.8275862068965517,0,0.782608696,0.217391304,0,0,0,1,1,1,28,3,0,0,7,0,0,-1,0,5.12
1,0,0,0,0,0,0,0.7647058823529411,0.2352941176470588,0,0,0,0,0,0,30,1,0,0,8,0,0,-1,0,4.21
1,0,-40,0,0,0,0,0.3571428571428571,0.6428571428571429,0,0,0,1,1,0,30,1,0,0.5,13,0,0,-1,0,5.72
0,0,-51,0,0,0,0,1,0,0,0,0,0,1,0,30,1,0,0,0,0,0,-1,0,4.88
2,0,0,0,0,0,0,0.240506329,0.759493671,0,0,0,1,1,1,30,1,0,0.5,0,0,0,-1,1,4.35
0,0,-58,0,0,0.2136752136752136,0,0.4,0.6,0,0,0,1,1,3,30,1,0,0,219,0,0,-1,0,5.01
0,0,-71,0,0,0.3709677419354839,0,0.25,0.75,0,0,0,0,0,0,30,1,0,0.5,60,0,0,-1,0,5.57
0,0,-62,0,0,0.2635658914728682,0,0.2631578947368421,0.7368421052631579,0,0,0,0,1,2,30,2,0,0,71,0,0,-1,0,5.33
0,0,-116,0,1,0,0,1,0,0,0,0,1,1,0,30,4,0,0,0,0,0,-1,0,4.04
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,-1,0,4.8
3,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0,1,1,1,30,2,0,0,0,0,0,-1,0,3.25
1,0,-286,0,0,0.2435897435897435,0,0.2631578947368421,0.7368421052631579,0,0,0,1,1,3,29,2,0,0,0,0,0,-1,0,5.25
0,0,-50,0,0,0,0,0.2553191489361702,0.7446808510638298,0,0,0,1,0,5,29,1,0,0,369,0,0,-1,0,3.98
3,0,0,0,0,0,0,0.5,0.5,0,0,0,1,1,2,29,2,0,0,3,0,0,-1,0,6.6
0,0,-283,0,0,0,0,0.4545454545454545,0.5454545454545454,0,0,0,1,1,0,28,3,0,0,129,0,0,-1,0,4.88
3,0,-198,0,1,0,0,0,1,0,0,0,0,1,0,30,1,0,0,0,0,0,-1,0,5.19
